dhuarita,07/25/2011 08:41:34,C/In
dhuarita,07/25/2011 12:44:41,OverTime O
dhuarita,07/25/2011 14:28:43,C/In
dhuarita,07/25/2011 19:03:31,OverTime O
dhuarita,07/26/2011 08:37:03,C/In
dhuarita,07/26/2011 12:37:35,OverTime O
dhuarita,07/26/2011 14:39:26,C/In
dhuarita,07/26/2011 19:30:07,OverTime O
dhuarita,07/27/2011 08:40:38,C/In
dhuarita,08/10/2011 12:37:27,OverTime O
dhuarita,08/10/2011 14:33:12,C/In
dhuarita,08/12/2011 14:45:44,C/In
dhuarita,08/15/2011 08:42:15,C/In
mgutierrez,07/25/2011 12:52:42,OverTime O
mgutierrez,07/25/2011 19:32:18,OverTime O
mgutierrez,07/26/2011 12:56:13,OverTime O
mgutierrez,07/26/2011 19:03:34,OverTime O
mgutierrez,07/28/2011 08:46:02,C/In
mgutierrez,07/28/2011 15:04:31,C/In
mgutierrez,07/29/2011 08:47:43,C/In
mgutierrez,07/29/2011 15:00:56,C/In
mgutierrez,08/01/2011 08:55:48,C/In
mgutierrez,08/01/2011 14:59:49,C/In
mgutierrez,08/02/2011 08:52:02,C/In
mgutierrez,08/02/2011 14:50:11,C/In
mgutierrez,08/08/2011 08:44:03,C/In
mgutierrez,08/08/2011 14:54:05,C/In
mgutierrez,08/09/2011 08:48:47,C/In
mgutierrez,08/09/2011 14:39:44,C/In
mgutierrez,08/10/2011 08:43:59,C/In
mgutierrez,08/10/2011 12:45:24,OverTime O
mgutierrez,08/10/2011 14:51:25,C/In
mgutierrez,08/11/2011 08:44:02,C/In
mgutierrez,08/11/2011 14:42:00,C/In
mgutierrez,08/12/2011 08:44:25,C/In
mgutierrez,08/12/2011 14:45:39,C/In
mgutierrez,08/15/2011 08:43:06,C/In
mgutierrez,08/15/2011 14:51:16,C/In
rsalamanca,07/25/2011 08:29:50,C/In
rsalamanca,07/25/2011 12:38:32,OverTime O
rsalamanca,07/25/2011 14:25:34,C/In
rsalamanca,07/25/2011 18:34:08,OverTime O
rsalamanca,07/26/2011 08:24:45,C/In
rsalamanca,07/26/2011 12:38:02,OverTime O
rsalamanca,07/26/2011 14:37:45,C/In
rsalamanca,07/26/2011 18:47:11,OverTime O
rsalamanca,07/27/2011 08:32:28,C/In
rsalamanca,07/27/2011 12:34:23,OverTime O
rsalamanca,07/27/2011 14:43:00,C/In
rsalamanca,07/27/2011 18:38:36,OverTime O
rsalamanca,07/28/2011 08:27:32,C/In
rsalamanca,07/28/2011 12:45:30,OverTime O
rsalamanca,07/28/2011 13:57:48,C/In
rsalamanca,07/28/2011 18:38:37,OverTime O
rsalamanca,07/29/2011 08:31:23,C/In
rsalamanca,07/29/2011 12:39:24,OverTime O
rsalamanca,07/29/2011 14:24:31,C/In
rsalamanca,07/29/2011 18:45:14,C/In
rsalamanca,08/01/2011 08:35:19,C/In
rsalamanca,08/01/2011 12:38:39,OverTime O
rsalamanca,08/01/2011 14:40:36,C/In
rsalamanca,08/01/2011 18:39:13,OverTime O
rsalamanca,08/02/2011 08:40:38,C/In
rsalamanca,08/02/2011 12:39:15,OverTime O
rsalamanca,08/02/2011 14:23:17,C/In
rsalamanca,08/02/2011 18:52:41,OverTime O
rsalamanca,08/03/2011 08:30:35,C/In
rsalamanca,08/03/2011 12:40:09,OverTime O
rsalamanca,08/03/2011 14:28:32,C/In
rsalamanca,08/03/2011 18:48:05,OverTime O
rsalamanca,08/04/2011 08:31:51,C/In
rsalamanca,08/04/2011 12:41:07,OverTime O
rsalamanca,08/04/2011 14:23:37,C/In
rsalamanca,08/04/2011 19:04:39,OverTime O
rsalamanca,08/05/2011 08:33:29,C/In
rsalamanca,08/05/2011 12:40:03,OverTime O
rsalamanca,08/05/2011 14:17:37,C/In
rsalamanca,08/05/2011 18:41:25,OverTime O
rsalamanca,08/08/2011 08:32:02,C/In
rsalamanca,08/08/2011 12:40:20,OverTime O
rsalamanca,08/08/2011 14:25:21,C/In
rsalamanca,08/08/2011 18:35:46,OverTime O
rsalamanca,08/09/2011 08:34:11,C/In
rsalamanca,08/09/2011 12:37:03,OverTime O
rsalamanca,08/09/2011 14:40:43,C/In
rsalamanca,08/09/2011 18:45:47,OverTime O
rsalamanca,08/10/2011 08:30:43,C/In
rsalamanca,08/10/2011 12:41:55,C/In
rsalamanca,08/10/2011 14:01:54,C/In
rsalamanca,08/10/2011 18:39:11,OverTime O
rsalamanca,08/11/2011 08:35:51,C/In
rsalamanca,08/11/2011 12:42:23,OverTime O
rsalamanca,08/11/2011 14:32:27,C/In
rsalamanca,08/11/2011 18:45:00,OverTime O
rsalamanca,08/12/2011 08:35:14,C/In
rsalamanca,08/12/2011 12:42:29,OverTime O
rsalamanca,08/12/2011 14:26:51,C/In
rsalamanca,08/12/2011 18:42:51,OverTime O
rsalamanca,08/15/2011 14:25:42,C/In
rsalamanca,08/15/2011 18:39:27,OverTime O
